2018/02/20	BA	5	49	84	24	22
2018/02/20	CA	3	6	54	19	70
2018/02/20	FI	83	90	51	67	14
2018/02/20	GE	18	32	81	77	11
2018/02/20	MI	11	21	24	63	27
2018/02/20	NA	42	39	27	54	82
2018/02/20	PA	50	32	67	18	22
2018/02/20	RM	69	28	65	21	12
2018/02/20	RN	34	14	36	61	60
2018/02/20	TO	33	30	3	52	12
2018/02/20	VE	16	65	26	28	62
2018/02/22	BA	14	53	88	9	42
2018/02/22	CA	51	52	17	44	87
2018/02/22	FI	48	17	45	60	59
2018/02/22	GE	79	24	3	7	66
2018/02/22	MI	31	79	73	70	83
2018/02/22	NA	55	7	67	59	57
2018/02/22	PA	63	71	8	30	31
2018/02/22	RM	35	23	30	58	71
2018/02/22	RN	70	6	24	76	19
2018/02/22	TO	7	1	58	71	43
2018/02/22	VE	55	57	42	34	88
2018/02/24	BA	27	79	70	52	25
2018/02/24	CA	15	18	53	56	58
2018/02/24	FI	39	52	27	84	57
2018/02/24	GE	14	62	4	61	86
2018/02/24	MI	12	53	22	19	9
2018/02/24	NA	54	66	75	18	68
2018/02/24	PA	89	68	79	44	23
2018/02/24	RM	13	21	71	73	58
2018/02/24	RN	3	15	6	46	29
2018/02/24	TO	33	80	30	67	85
2018/02/24	VE	12	47	28	62	45
2018/02/27	BA	57	20	58	2	23
2018/02/27	CA	7	57	74	28	64
2018/02/27	FI	80	3	48	57	41
2018/02/27	GE	56	43	81	32	50
2018/02/27	MI	89	71	26	76	7
2018/02/27	NA	6	83	39	57	7
2018/02/27	PA	42	30	5	87	81
2018/02/27	RM	49	52	56	28	44
2018/02/27	RN	84	80	51	52	41
2018/02/27	TO	37	33	55	56	59
2018/02/27	VE	37	33	71	35	43
2018/03/01	BA	70	57	66	47	37
2018/03/01	CA	54	7	21	45	56
2018/03/01	FI	55	79	46	17	73
2018/03/01	GE	67	74	17	81	62
2018/03/01	MI	25	12	86	2	17
2018/03/01	NA	24	38	49	10	58
2018/03/01	PA	34	68	81	89	83
2018/03/01	RM	72	21	35	76	51
2018/03/01	RN	40	57	2	49	5
2018/03/01	TO	66	31	61	11	55
2018/03/01	VE	63	71	86	22	87
2018/03/03	BA	9	38	4	66	73
2018/03/03	CA	45	70	56	44	76
2018/03/03	FI	40	22	81	45	26
2018/03/03	GE	52	74	5	83	89
2018/03/03	MI	6	90	79	40	45
2018/03/03	NA	66	39	14	78	43
2018/03/03	PA	38	23	90	69	24
2018/03/03	RM	41	17	56	45	34
2018/03/03	RN	84	65	22	28	44
2018/03/03	TO	9	78	69	48	61
2018/03/03	VE	50	11	26	28	27
2018/03/06	BA	83	71	20	44	66
2018/03/06	CA	35	17	14	87	27
2018/03/06	FI	54	9	47	17	84
2018/03/06	GE	10	12	65	55	8
2018/03/06	MI	6	64	86	89	15
2018/03/06	NA	58	64	77	26	89
2018/03/06	PA	29	6	18	33	34
2018/03/06	RM	89	25	44	85	78
2018/03/06	RN	52	13	31	81	68
2018/03/06	TO	79	44	49	37	13
2018/03/06	VE	1	79	90	39	19
2018/03/08	BA	54	44	7	55	57
2018/03/08	CA	33	84	82	47	75
2018/03/08	FI	50	51	85	87	28
2018/03/08	GE	50	46	78	87	45
2018/03/08	MI	87	65	68	23	39
2018/03/08	NA	85	83	73	39	71
2018/03/08	PA	69	26	35	7	73
2018/03/08	RM	5	22	43	3	76
2018/03/08	RN	78	1	23	36	13
2018/03/08	TO	85	47	35	76	19
2018/03/08	VE	27	38	79	48	46
2018/03/10	VE	75	51	84	64	56
2018/03/10	TO	31	59	83	89	25
2018/03/10	RN	48	37	61	38	13
2018/03/10	RM	27	88	62	89	8
2018/03/10	PA	16	31	80	44	60
2018/03/10	NA	13	49	85	57	2
2018/03/10	MI	59	3	4	51	74
2018/03/10	GE	52	15	6	76	82
2018/03/10	FI	80	79	89	56	31
2018/03/10	CA	37	38	23	13	70
2018/03/10	BA	83	24	60	56	13
